id_cliente,canton,tipo_negocio,antiguedad_meses,frecuencia_pedidos_mes,ticket_promedio,sku_distintos,distancia_bodega_km,descuento_promedio,ventas_trimestre,recompra_90d,segmento
AND-0001,Catamayo,tienda de barrio,49,14,44.28,77,36.3,14.0,1525.28,1,minimarket
AND-0002,Machala,tienda de barrio,13,8,14.89,42,24.2,8.6,283.47,0,barrio
AND-0003,Saraguro,tienda de barrio,9,12,94.44,69,6.2,9.2,4315.63,0,minimarket
AND-0004,Saraguro,tienda de barrio,29,9,81.75,46,23.6,12.8,2189.2,0,minimarket
AND-0005,Machala,tienda de barrio,65,5,16.44,28,25.7,11.2,212.0,0,barrio
AND-0006,Machala,tienda de barrio,37,17,193.86,150,34.5,6.6,10232.06,1,mayorista
AND-0007,Cariamanga,tienda de barrio,38,8,42.71,69,22.7,14.5,1286.52,1,minimarket
AND-0008,Zamora,minimarket,11,10,36.15,69,62.5,9.4,1133.1,0,minimarket
AND-0009,Cariamanga,minimarket,26,6,17.54,26,18.8,9.0,212.15,0,barrio
AND-0010,Catamayo,tienda de barrio,49,9,14.45,21,13.3,14.7,519.64,1,barrio
AND-0011,Loja,minimarket,31,5,17.67,15,50.1,17.4,194.46,0,barrio
AND-0012,Macara,tienda de barrio,9,12,147.68,117,18.4,8.6,5004.78,1,mayorista
AND-0013,Macara,tienda de barrio,26,11,46.51,64,21.2,5.2,1298.06,0,minimarket
AND-0014,Loja,restaurante,36,9,56.83,62,25.7,7.5,1353.47,0,minimarket
AND-0015,Loja,minimarket,2,6,19.51,29,24.2,15.3,342.96,1,barrio
AND-0016,Macara,tienda de barrio,24,6,19.73,6,30.9,13.9,256.81,1,barrio
AND-0017,Loja,tienda de barrio,15,10,41.13,68,33.1,20.2,1124.76,1,minimarket
AND-0018,Macara,minimarket,41,7,21.72,47,12.4,22.4,483.87,1,barrio
AND-0019,Macara,tienda de barrio,20,8,46.12,61,7.6,11.4,948.46,0,minimarket
AND-0020,Catamayo,restaurante,33,9,63.22,59,8.4,10.6,1366.62,0,minimarket
AND-0021,Loja,tienda de barrio,26,11,54.87,64,46.4,8.5,1720.08,1,minimarket
AND-0022,Catamayo,tienda de barrio,19,5,13.3,46,17.2,23.6,173.59,0,barrio
AND-0023,Catamayo,minimarket,69,13,195.89,128,35.9,28.0,6309.37,1,mayorista
AND-0024,Cariamanga,minimarket,18,17,227.58,142,33.8,10.4,9547.36,1,mayorista
AND-0025,Macara,tienda de barrio,27,12,62.94,50,21.2,6.3,2365.31,0,minimarket
AND-0026,Machala,restaurante,26,6,17.45,15,9.8,2.7,335.85,1,barrio
AND-0027,Loja,restaurante,29,3,25.21,21,34.3,14.2,186.75,0,barrio
AND-0028,Macara,tienda de barrio,66,7,22.47,38,20.6,9.2,403.48,1,barrio
AND-0029,Loja,tienda de barrio,36,3,17.01,44,7.1,17.1,145.58,1,barrio
AND-0030,Zamora,tienda de barrio,19,10,64.87,65,14.2,8.0,1663.84,0,minimarket
AND-0031,Loja,minimarket,55,9,84.16,55,4.7,8.0,2254.15,1,minimarket
AND-0032,Saraguro,minimarket,39,14,323.25,170,14.8,15.2,15470.68,1,mayorista
AND-0033,Saraguro,tienda de barrio,19,5,13.74,17,22.0,14.8,192.86,1,barrio
AND-0034,Loja,restaurante,51,6,14.68,15,19.0,10.7,216.39,0,barrio
AND-0035,Machala,tienda de barrio,10,5,24.95,5,17.3,20.7,362.47,0,barrio
AND-0036,Loja,panaderia,13,7,14.26,39,21.8,11.5,279.68,1,barrio
AND-0037,Loja,panaderia,8,5,13.46,34,29.6,9.1,191.07,0,barrio
AND-0038,Cariamanga,tienda de barrio,6,8,16.17,51,37.9,2.4,409.01,0,barrio
AND-0039,Saraguro,tienda de barrio,49,6,19.74,5,41.4,12.5,370.03,0,barrio
AND-0040,Loja,tienda de barrio,29,9,53.77,77,11.2,8.3,1411.95,1,minimarket
AND-0041,Loja,restaurante,9,5,15.6,23,44.2,4.1,228.5,0,barrio
AND-0042,Loja,tienda de barrio,25,7,47.42,70,20.6,18.0,1212.07,1,minimarket
AND-0043,Machala,panaderia,42,10,47.02,40,15.8,16.0,1547.4,1,minimarket
AND-0044,Cariamanga,tienda de barrio,16,5,14.83,40,8.7,24.1,224.93,0,barrio
AND-0045,Loja,tienda de barrio,21,6,90.86,69,28.1,21.3,1527.33,1,minimarket
AND-0046,Catamayo,restaurante,71,9,58.72,60,27.4,0.6,1387.92,0,minimarket
AND-0047,Machala,tienda de barrio,22,5,21.88,30,13.2,15.7,357.06,0,barrio
AND-0048,Machala,panaderia,9,9,16.16,13,13.5,8.9,429.36,0,barrio
AND-0049,Loja,tienda de barrio,19,7,52.8,53,18.5,1.4,1023.11,0,minimarket
AND-0050,Cariamanga,tienda de barrio,8,4,15.38,16,15.6,5.0,175.38,0,barrio
AND-0051,Loja,tienda de barrio,37,8,10.04,5,10.8,8.7,205.41,1,barrio
AND-0052,Loja,tienda de barrio,15,8,13.29,32,7.8,20.1,337.67,1,barrio
AND-0053,Machala,minimarket,14,9,36.93,74,44.5,7.4,1058.68,0,minimarket
AND-0054,Machala,tienda de barrio,74,9,33.53,52,14.2,4.0,912.68,0,minimarket
AND-0055,Loja,tienda de barrio,12,11,42.28,64,27.3,1.8,1377.9,1,minimarket
AND-0056,Machala,tienda de barrio,10,6,73.61,57,31.1,2.6,1200.65,0,minimarket
AND-0057,Macara,minimarket,13,3,17.82,26,28.2,8.5,117.61,0,barrio
AND-0058,Zamora,panaderia,43,10,73.06,52,32.3,10.9,1747.55,1,minimarket
AND-0059,Zamora,minimarket,35,8,19.7,11,28.0,2.6,425.0,0,barrio
AND-0060,Saraguro,restaurante,18,5,21.38,35,12.2,8.6,276.11,0,barrio
AND-0061,Machala,tienda de barrio,17,10,45.11,59,16.3,15.1,1323.57,1,minimarket
AND-0062,Loja,tienda de barrio,33,8,20.2,46,43.7,2.6,533.35,0,barrio
AND-0063,Saraguro,tienda de barrio,29,13,64.56,61,13.8,13.1,2351.39,1,minimarket
AND-0064,Loja,tienda de barrio,23,9,48.45,49,20.7,10.5,1507.65,1,minimarket
AND-0065,Zamora,minimarket,35,10,62.2,75,29.7,7.5,1636.81,0,minimarket
AND-0066,Loja,panaderia,12,13,62.3,68,54.6,6.0,2332.17,0,minimarket
AND-0067,Catamayo,tienda de barrio,15,8,48.74,69,41.1,6.0,1135.22,0,minimarket
AND-0068,Zamora,restaurante,36,8,14.06,36,9.5,15.3,366.03,1,barrio
AND-0069,Loja,tienda de barrio,31,4,13.87,14,26.6,11.8,161.09,0,barrio
AND-0070,Loja,minimarket,5,6,18.35,20,24.5,23.1,306.23,0,barrio
AND-0071,Loja,tienda de barrio,26,6,19.34,20,16.4,11.2,268.64,0,barrio
AND-0072,Macara,minimarket,73,4,15.12,7,21.1,2.4,159.92,0,barrio
AND-0073,Loja,tienda de barrio,40,8,55.32,57,12.1,19.3,1417.33,0,minimarket
AND-0074,Catamayo,restaurante,19,6,20.41,38,18.2,10.5,269.18,0,barrio
AND-0075,Saraguro,restaurante,16,8,20.62,25,13.9,22.6,538.06,0,barrio
AND-0076,Machala,tienda de barrio,32,6,25.32,6,22.3,10.3,467.08,0,barrio
AND-0077,Zamora,tienda de barrio,49,6,23.84,5,16.0,24.6,352.54,1,barrio
AND-0078,Loja,minimarket,7,11,44.13,80,57.3,5.3,1280.35,0,minimarket
AND-0079,Machala,minimarket,30,8,79.66,59,22.9,6.4,2386.0,0,minimarket
AND-0080,Zamora,minimarket,21,11,48.94,52,19.8,10.9,1858.93,1,minimarket
AND-0081,Macara,minimarket,29,11,69.21,57,17.5,6.1,2195.98,1,minimarket
AND-0082,Saraguro,panaderia,10,10,18.27,5,16.0,16.5,522.38,1,barrio
AND-0083,Loja,minimarket,49,9,50.23,77,7.1,3.9,1228.23,0,minimarket
AND-0084,Macara,tienda de barrio,56,5,12.09,17,35.8,3.2,182.28,0,barrio
AND-0085,Saraguro,restaurante,38,7,17.33,38,50.1,6.6,324.94,0,barrio
AND-0086,Loja,tienda de barrio,62,7,12.77,23,13.8,2.2,263.2,0,barrio
AND-0087,Loja,tienda de barrio,20,9,68.04,77,43.5,10.2,2233.34,1,minimarket
AND-0088,Loja,restaurante,30,5,25.13,25,88.9,6.6,362.84,0,barrio
AND-0089,Cariamanga,tienda de barrio,38,7,15.11,32,68.8,2.5,274.23,0,barrio
AND-0090,Loja,tienda de barrio,32,5,19.24,31,48.7,0.7,240.98,0,barrio
AND-0091,Cariamanga,minimarket,22,5,15.34,29,8.0,6.4,228.18,0,barrio
AND-0092,Zamora,panaderia,23,10,47.9,64,7.9,0.2,1300.66,0,minimarket
AND-0093,Loja,tienda de barrio,53,8,21.34,19,32.2,4.6,519.49,0,barrio
AND-0094,Loja,tienda de barrio,25,5,17.85,45,20.8,13.3,205.82,0,barrio
AND-0095,Loja,tienda de barrio,47,3,26.39,11,2.8,13.0,246.82,0,barrio
AND-0096,Catamayo,tienda de barrio,25,7,49.46,60,15.1,18.6,840.2,0,minimarket
AND-0097,Zamora,tienda de barrio,47,4,22.43,22,31.2,8.0,262.45,0,barrio
AND-0098,Cariamanga,tienda de barrio,27,4,18.39,27,18.4,11.3,202.01,0,barrio
AND-0099,Machala,restaurante,36,6,21.44,17,20.9,3.1,476.77,0,barrio
AND-0100,Machala,minimarket,17,14,190.32,144,7.9,12.3,7786.97,0,mayorista
AND-0101,Loja,panaderia,30,15,207.72,138,14.9,12.8,11444.69,1,mayorista
AND-0102,Macara,restaurante,17,9,53.62,41,32.3,5.3,1525.47,0,minimarket
AND-0103,Catamayo,restaurante,20,5,14.98,22,14.3,16.3,253.49,0,barrio
AND-0104,Saraguro,panaderia,21,18,242.93,127,45.9,5.2,12511.59,0,mayorista
AND-0105,Loja,tienda de barrio,23,11,63.46,39,21.3,10.8,2099.4,0,minimarket
AND-0106,Catamayo,panaderia,44,10,62.67,62,28.1,1.4,2190.98,0,minimarket
AND-0107,Macara,minimarket,20,5,25.24,28,31.8,13.4,403.92,0,barrio
AND-0108,Cariamanga,tienda de barrio,28,5,24.76,28,30.9,12.7,378.51,0,barrio
AND-0109,Loja,tienda de barrio,47,7,16.57,29,9.3,7.2,324.21,1,barrio
AND-0110,Loja,tienda de barrio,36,17,227.96,117,10.7,19.0,10556.22,1,mayorista
AND-0111,Cariamanga,tienda de barrio,8,5,15.69,6,2.8,4.5,268.14,0,barrio
AND-0112,Macara,panaderia,9,6,18.09,46,16.3,14.5,366.25,0,barrio
AND-0113,Saraguro,tienda de barrio,32,3,15.78,9,10.1,4.4,129.26,0,barrio
AND-0114,Loja,tienda de barrio,19,10,78.55,67,14.0,16.3,2005.2,1,minimarket
AND-0115,Loja,tienda de barrio,9,7,19.5,14,17.6,5.3,356.67,0,barrio
AND-0116,Zamora,panaderia,18,10,52.42,61,23.3,4.8,1719.37,1,minimarket
AND-0117,Macara,tienda de barrio,33,13,71.52,52,18.6,2.5,2448.05,1,minimarket
AND-0118,Loja,tienda de barrio,21,9,34.12,67,18.4,5.3,1003.67,1,minimarket
AND-0119,Saraguro,panaderia,27,6,11.56,24,26.5,17.8,208.08,0,barrio
AND-0120,Catamayo,panaderia,22,10,65.52,55,20.2,2.1,1816.34,0,minimarket
AND-0121,Cariamanga,tienda de barrio,17,10,55.74,47,37.6,2.3,2031.06,1,minimarket
AND-0122,Loja,minimarket,30,10,58.12,63,20.3,14.1,1363.56,1,minimarket
AND-0123,Cariamanga,tienda de barrio,8,6,13.44,7,54.8,19.9,277.19,0,barrio
AND-0124,Machala,restaurante,15,7,17.91,27,8.9,7.1,381.32,1,barrio
AND-0125,Catamayo,minimarket,40,8,27.97,54,16.1,1.5,509.71,1,barrio
AND-0126,Loja,minimarket,10,6,21.58,38,12.3,4.1,470.21,1,barrio
AND-0127,Loja,tienda de barrio,26,7,18.68,31,24.0,5.7,435.37,1,barrio
AND-0128,Loja,minimarket,20,5,16.34,21,8.9,7.5,225.14,1,barrio
AND-0129,Machala,tienda de barrio,19,7,16.5,5,5.7,5.5,299.19,0,barrio
AND-0130,Machala,tienda de barrio,42,9,34.43,44,10.5,1.7,753.12,0,minimarket
AND-0131,Loja,minimarket,46,8,19.05,37,6.1,16.0,587.35,0,barrio
AND-0132,Machala,panaderia,13,20,252.93,131,17.8,5.7,13164.13,1,mayorista
AND-0133,Loja,tienda de barrio,23,10,38.89,52,23.3,5.4,969.4,0,minimarket
AND-0134,Cariamanga,panaderia,6,2,15.56,20,4.9,5.5,94.62,0,barrio
AND-0135,Macara,tienda de barrio,40,9,42.64,47,15.3,2.2,922.61,1,minimarket
AND-0136,Catamayo,minimarket,25,8,14.56,7,41.0,19.4,284.63,0,barrio
AND-0137,Saraguro,tienda de barrio,9,17,212.49,139,49.1,2.9,12195.84,1,mayorista
AND-0138,Cariamanga,tienda de barrio,16,6,11.38,11,34.1,7.8,211.05,0,barrio
AND-0139,Loja,restaurante,12,12,62.96,51,1.7,15.8,2024.54,0,minimarket
AND-0140,Machala,tienda de barrio,15,7,21.25,13,21.8,3.1,441.98,1,barrio
AND-0141,Loja,restaurante,7,8,17.03,28,44.2,9.4,371.92,1,barrio
AND-0142,Loja,tienda de barrio,53,7,10.43,19,14.1,11.4,207.75,0,barrio
AND-0143,Machala,minimarket,13,18,168.66,138,7.2,8.7,7972.87,1,mayorista
AND-0144,Catamayo,tienda de barrio,26,11,72.14,67,42.1,7.4,2144.82,1,minimarket
AND-0145,Catamayo,minimarket,33,7,9.77,20,46.2,4.0,186.6,1,barrio
AND-0146,Loja,restaurante,46,6,16.68,19,20.1,6.8,266.06,0,barrio
AND-0147,Loja,minimarket,26,5,13.88,28,7.3,7.7,231.4,0,barrio
AND-0148,Loja,tienda de barrio,22,9,21.49,30,4.3,8.5,620.36,0,barrio
AND-0149,Catamayo,panaderia,27,6,15.52,20,25.7,7.5,240.33,0,barrio
AND-0150,Saraguro,minimarket,13,7,19.67,23,12.3,7.8,343.05,0,barrio
AND-0151,Catamayo,tienda de barrio,14,10,62.29,51,19.2,5.0,1795.67,1,minimarket
AND-0152,Machala,minimarket,22,15,314.53,130,17.7,10.4,17981.65,1,mayorista
AND-0153,Machala,minimarket,5,6,17.21,31,10.0,6.7,264.05,0,barrio
AND-0154,Loja,panaderia,17,12,59.74,65,4.1,26.7,1889.76,1,minimarket
AND-0155,Machala,tienda de barrio,19,7,12.98,27,14.4,3.2,272.35,0,barrio
AND-0156,Machala,tienda de barrio,67,7,71.47,63,22.4,11.2,1416.08,0,minimarket
AND-0157,Machala,restaurante,50,6,15.23,23,23.2,12.2,246.17,0,barrio
AND-0158,Macara,minimarket,33,13,48.62,68,11.7,1.3,2192.38,0,minimarket
AND-0159,Loja,tienda de barrio,41,10,54.73,71,45.6,8.8,1682.87,1,minimarket
AND-0160,Loja,restaurante,14,7,39.0,71,8.0,15.1,861.1,0,minimarket
AND-0161,Machala,tienda de barrio,27,9,18.93,21,38.9,10.1,530.37,0,barrio
AND-0162,Saraguro,tienda de barrio,38,17,259.81,157,21.9,18.8,13807.05,1,mayorista
AND-0163,Machala,panaderia,14,6,19.2,25,14.5,15.2,399.82,0,barrio
AND-0164,Macara,minimarket,10,5,12.69,30,28.1,7.5,219.78,0,barrio
AND-0165,Loja,restaurante,31,12,53.52,63,16.9,0.6,2600.58,0,minimarket
AND-0166,Catamayo,minimarket,10,5,21.19,25,5.6,14.2,352.01,0,barrio
AND-0167,Machala,tienda de barrio,34,12,36.39,51,7.5,14.7,1132.96,1,minimarket
AND-0168,Loja,tienda de barrio,46,11,43.42,68,16.1,28.0,1427.43,1,minimarket
AND-0169,Macara,tienda de barrio,14,6,21.83,56,13.1,16.9,402.95,0,barrio
AND-0170,Machala,restaurante,15,16,222.86,136,38.3,6.4,13392.63,1,mayorista
AND-0171,Loja,tienda de barrio,45,6,19.71,23,12.6,14.2,295.78,1,barrio
AND-0172,Loja,minimarket,26,8,27.1,17,12.0,13.0,664.36,0,barrio
AND-0173,Saraguro,tienda de barrio,42,5,19.95,16,10.7,5.0,268.63,0,barrio
AND-0174,Zamora,tienda de barrio,22,13,242.7,159,10.0,7.6,9821.73,0,mayorista
AND-0175,Saraguro,tienda de barrio,23,7,32.68,14,10.3,14.4,630.42,1,barrio
AND-0176,Loja,minimarket,26,7,17.17,16,6.5,6.1,374.76,0,barrio
AND-0177,Loja,tienda de barrio,60,7,15.1,5,22.6,15.2,248.55,1,barrio
AND-0178,Catamayo,restaurante,40,17,230.72,131,18.0,7.8,12653.52,1,mayorista
AND-0179,Loja,restaurante,16,15,231.29,119,17.4,17.6,9966.95,1,mayorista
AND-0180,Loja,tienda de barrio,28,11,48.98,68,4.6,7.4,1601.72,1,minimarket
AND-0181,Zamora,panaderia,21,16,167.33,174,26.4,2.5,10250.04,1,mayorista
AND-0182,Loja,tienda de barrio,19,15,349.07,136,28.3,8.9,14434.58,1,mayorista
AND-0183,Zamora,tienda de barrio,34,6,19.34,5,53.1,15.8,341.84,0,barrio
AND-0184,Machala,tienda de barrio,30,9,15.32,33,27.3,7.0,407.78,0,barrio
AND-0185,Cariamanga,panaderia,14,7,67.28,51,60.2,12.8,1378.36,1,minimarket
AND-0186,Cariamanga,minimarket,26,11,53.7,76,11.5,3.9,2330.04,1,minimarket
AND-0187,Loja,tienda de barrio,18,3,17.03,19,55.0,6.9,150.45,0,barrio
AND-0188,Cariamanga,minimarket,33,6,20.37,14,27.9,5.0,334.04,0,barrio
AND-0189,Catamayo,minimarket,18,9,41.39,58,25.5,10.7,1366.58,1,minimarket
AND-0190,Loja,panaderia,23,3,19.45,31,17.1,9.4,162.11,0,barrio
