ventas_mensuales,meses_sin_atraso,credito_aprobado
696,1,0
780,24,0
2589,33,1
777,32,1
679,17,0
2748,17,1
2551,29,1
1027,12,0
3328,34,1
600,9,0
1464,3,1
3008,28,1
2533,15,1
2480,13,1
2808,12,1
2657,35,1
3522,21,1
2361,36,1
1725,12,0
3111,15,1
1185,8,0
3086,15,1
1264,2,0
2025,0,0
3009,16,1
2585,27,0
526,16,0
1897,19,1
3285,16,1
3988,19,1
1974,28,1
527,29,0
1592,30,1
2062,8,1
479,16,0
3484,30,1
2247,34,0
1781,20,0
1709,18,1
308,28,0
2172,36,0
2007,15,1
1514,6,0
2703,30,1
1762,26,1
2373,5,1
3563,12,1
1583,20,1
1712,26,1
3490,28,1
1561,6,1
1870,8,0
3243,27,1
2449,4,1
3749,18,1
1989,20,1
2020,12,1
363,29,0
950,2,0
2252,28,1
911,23,0
1924,18,1
1277,31,1
279,7,1
2005,29,1
2656,7,1
1485,36,1
3151,1,0
755,20,1
547,6,0
3752,15,1
3702,5,1
1745,7,0
1796,2,0
3434,0,1
2216,26,1
645,16,0
637,2,0
698,34,1
3167,24,1
2487,10,1
1339,16,0
816,18,0
669,21,0
3017,31,1
3566,21,1
2218,35,1
3136,26,1
1276,36,1
2426,20,1
1865,24,0
533,27,0
2052,27,0
3418,1,1
397,5,0
2013,8,0
3518,10,1
3202,33,1
2075,26,1
851,5,0
3424,15,1
782,9,0
1252,30,1
672,33,1
1944,6,0
2591,15,1
3343,34,1
1953,24,1
3889,31,1
2464,13,1
2497,8,1
866,25,1
922,5,0
2391,30,1
2939,27,1
978,11,0
2039,18,1
1554,29,1
1867,34,1
1044,13,0
735,28,1
1418,7,0
3502,33,1
3260,25,1
586,5,0
534,27,0
2073,26,1
1254,27,1
3329,12,1
2047,27,1
3440,30,1
611,12,0
3886,7,1
3115,32,1
2981,22,1
3773,17,1
1987,32,1
766,5,0
2088,29,1
3298,18,1
3466,2,1
2056,35,1
2983,28,1
1138,8,0
1076,33,1
2428,34,1
1803,29,1
812,5,0
3093,7,0
2222,27,1
2177,33,1
919,8,0
1116,17,0
2832,6,1
3437,17,0
873,23,0
3287,1,1
3195,23,1
3297,23,1
2411,16,0
1537,32,1
3130,5,1
2024,2,0
1043,18,0
1729,19,1
1939,10,0
2120,35,1
3611,9,1
1762,10,0
1282,29,1
3857,33,1
1119,19,0
242,1,0
3429,13,1
3827,8,1
2792,18,1
1749,25,1
2266,14,1
3362,19,1
3564,27,1
590,9,0
3498,7,1
2546,29,1
323,1,0
612,5,0
373,0,0
3805,20,1
1821,22,1
2919,19,1
207,15,0
3214,19,1
2032,7,0
3710,30,1
2179,35,1
3197,19,0
2592,13,1
2178,29,1
3803,7,1
2083,12,1
3591,34,1
