ventas_mensuales,meses_sin_atraso,credito_aprobado
1722,30,1
514,34,1
1303,29,1
2288,18,1
2721,7,1
3215,33,1
3041,20,1
556,3,0
750,6,0
1985,4,0
2717,28,1
3232,35,1
3797,11,1
2044,29,1
3395,12,1
2699,14,1
3954,15,1
2551,24,1
2765,27,1
3647,3,1
1744,3,0
1881,26,1
1830,28,1
2910,19,1
2327,14,1
564,19,0
405,8,0
3608,3,1
3871,25,1
2079,15,1
351,2,0
1966,31,1
3487,9,1
1136,36,1
1313,9,0
3233,35,1
1530,27,1
1338,32,1
3826,35,1
3618,9,1
949,9,0
3067,17,1
2644,9,1
3225,23,1
3597,26,1
3239,8,1
1766,34,1
3581,12,1
1020,30,1
3938,3,1
1875,22,1
3595,15,1
1420,23,1
339,21,0
2803,27,1
1915,25,1
2597,8,1
1855,33,1
2312,20,1
2153,30,1
