rotacion_semanal,cobertura_dias,plazo_proveedor_dias,surtido_local,en_promocion,indice_estacional,distancia_bodega_km,quiebres_previos_12s,quiebre_stock
9.9,12.4,13,53,0,1.282,42.7,1,1
5.6,5.0,2,97,1,1.026,45.2,1,0
33.2,6.1,6,56,0,0.888,25.2,0,0
28.5,3.8,14,112,0,1.248,57.7,4,1
34.3,3.5,7,60,0,1.144,69.7,1,0
15.3,12.2,2,91,0,1.089,26.7,0,0
19.6,2.4,2,94,1,0.911,4.2,3,0
19.7,10.2,12,83,0,0.723,50.6,0,0
16.2,23.0,12,88,0,1.045,23.9,1,1
11.1,7.6,14,16,0,1.153,56.4,2,1
13.1,8.8,11,50,0,0.919,2.6,0,0
42.3,16.2,27,53,0,1.07,33.7,0,0
22.4,21.5,12,93,0,1.208,28.7,2,0
34.3,13.7,9,110,0,0.854,24.2,3,0
65.3,15.5,5,79,0,0.92,79.4,0,0
23.8,13.4,13,60,0,1.277,17.3,1,0
9.6,13.9,3,71,0,0.984,8.7,0,0
28.6,28.5,14,80,0,1.228,9.4,0,0
34.9,15.3,7,67,0,1.267,31.3,0,0
46.2,11.9,6,47,0,0.758,18.2,1,0
41.4,12.3,2,31,1,1.172,12.8,1,0
29.8,44.4,5,36,0,0.935,36.3,2,1
27.5,23.5,19,31,0,1.286,29.3,1,0
28.5,10.2,3,76,0,0.826,14.4,1,0
17.7,3.2,3,48,0,1.319,7.4,0,0
47.5,25.7,4,91,0,0.782,27.4,0,0
24.8,15.8,4,5,0,1.285,38.1,0,0
25.6,40.5,10,43,0,0.891,1.9,3,0
10.4,39.7,7,64,0,0.742,35.4,0,1
15.2,11.8,13,76,0,0.857,35.5,1,0
38.3,8.0,5,73,0,0.871,6.7,0,1
14.6,11.6,5,103,0,0.975,12.6,0,0
26.9,10.5,32,121,0,0.961,6.3,0,1
27.0,12.8,8,86,1,0.91,23.8,0,0
30.1,26.4,20,74,0,1.339,50.1,1,0
9.8,10.2,1,88,1,1.211,19.3,1,0
23.4,11.6,8,67,0,0.889,9.9,1,0
18.6,7.3,6,111,0,0.914,22.7,1,0
39.2,15.7,3,69,1,1.261,20.0,0,0
6.8,4.1,13,63,0,0.703,15.9,0,1
14.1,4.8,4,87,0,1.22,29.8,0,0
14.8,11.8,16,47,0,1.056,28.0,0,1
17.4,13.7,6,122,0,1.308,33.4,0,0
13.9,17.6,9,19,0,1.378,27.5,3,1
61.6,15.2,6,35,0,0.75,53.5,0,0
22.1,21.9,9,107,0,0.96,27.6,0,0
32.9,28.5,11,125,0,0.943,35.7,1,0
59.5,18.9,22,138,0,1.291,28.8,1,1
29.5,24.5,12,52,1,1.171,8.6,1,0
28.1,37.3,4,67,1,1.312,38.4,0,1
32.2,36.4,10,81,0,0.918,29.1,1,0
35.1,6.5,9,85,0,0.798,23.6,2,0
18.8,21.2,6,107,0,1.176,31.0,3,0
7.1,9.3,5,85,1,0.877,18.7,1,0
18.3,16.7,23,158,0,1.287,29.5,1,1
40.7,6.2,11,108,0,1.217,101.3,2,0
70.5,5.3,2,111,0,0.99,36.2,0,0
43.5,23.3,3,41,1,0.83,17.4,1,1
29.2,8.6,19,101,0,0.936,28.7,1,1
37.2,17.2,13,109,0,1.091,24.0,2,0
29.1,16.0,5,103,0,1.028,37.0,0,0
8.4,12.5,7,13,0,1.113,79.7,0,1
12.0,18.8,6,45,0,1.36,65.7,0,1
47.7,28.1,11,45,0,1.353,33.9,2,0
23.2,16.2,15,65,1,1.1,29.7,1,1
24.4,9.0,2,61,0,0.895,15.7,1,0
18.1,12.3,6,176,0,0.792,21.0,2,0
24.3,14.5,10,54,0,0.736,62.0,0,0
33.5,18.8,12,73,1,0.821,3.1,0,0
32.1,15.0,10,93,0,1.053,36.0,2,1
28.5,14.8,2,75,0,0.757,18.5,1,0
24.6,9.1,4,137,0,0.758,54.3,1,0
19.1,14.2,5,89,0,1.138,36.6,0,0
15.2,6.6,14,63,0,0.831,17.6,2,1
34.0,20.4,7,62,0,0.983,7.9,2,0
16.3,14.8,8,104,0,0.889,16.5,2,1
42.7,25.0,15,117,1,1.017,19.8,0,0
24.3,14.7,10,92,0,1.272,67.5,1,1
34.4,11.8,4,54,0,1.282,20.8,0,0
34.0,25.1,12,52,0,0.706,4.2,3,1
29.1,19.2,24,93,0,0.885,25.3,0,0
31.8,12.4,3,127,0,1.136,14.3,1,0
11.2,7.1,18,99,0,1.046,11.7,1,1
50.7,5.3,6,61,0,1.375,25.5,1,0
66.4,8.6,6,66,0,0.959,29.0,3,0
22.6,3.3,6,5,1,1.134,23.1,3,0
24.0,7.1,12,111,1,0.999,29.9,3,1
31.1,27.5,8,32,0,1.084,35.7,2,0
23.3,16.1,4,110,0,0.783,24.5,1,0
26.1,17.4,29,76,1,1.046,17.9,1,0
22.0,8.8,10,143,0,0.943,1.6,1,1
14.0,10.6,8,108,0,0.845,20.5,1,0
27.1,16.4,11,85,0,1.001,18.4,1,0
16.3,9.3,3,73,1,1.22,22.5,2,0
27.2,8.7,10,51,0,1.399,13.0,1,1
12.5,7.7,8,75,0,1.299,6.1,2,0
9.0,21.9,3,68,0,1.381,12.2,0,1
44.5,19.8,4,22,1,0.906,34.4,2,1
53.4,33.1,7,116,1,1.187,14.7,2,1
12.4,5.3,9,62,1,1.254,15.1,3,1
9.4,8.8,12,62,0,0.87,24.7,1,1
46.3,19.1,2,11,0,1.142,18.3,1,1
55.4,39.5,7,58,0,0.801,11.0,0,1
99.3,22.9,7,97,0,1.363,32.4,1,0
16.2,4.4,5,46,1,1.363,9.8,1,0
13.3,33.2,5,38,0,0.809,8.4,1,1
18.2,24.1,15,63,0,1.185,4.3,2,0
4.2,46.3,3,75,1,1.383,27.4,0,1
65.7,13.3,7,106,0,0.751,22.1,1,0
3.2,19.8,18,114,0,1.252,58.7,0,0
29.7,29.3,4,69,0,1.053,39.9,2,0
37.5,11.2,9,26,0,0.936,8.3,2,1
42.3,20.6,11,51,0,0.947,26.1,0,0
25.8,37.2,12,105,0,0.953,26.9,2,0
35.8,4.5,2,32,0,0.832,23.7,0,0
14.7,20.5,4,93,0,0.72,67.6,1,0
14.2,26.6,3,150,0,1.085,3.5,2,1
5.3,10.7,14,103,1,1.049,11.2,0,1
17.4,9.2,7,83,0,1.196,8.9,1,0
13.8,5.3,13,116,1,0.98,27.7,0,1
16.4,8.2,26,85,0,1.318,10.5,0,1
23.0,4.1,5,57,0,1.213,11.8,1,0
46.5,5.8,18,78,0,1.15,7.3,1,1
32.3,9.7,6,34,0,1.036,16.1,6,1
12.3,5.4,3,27,0,0.807,13.7,5,0
16.0,12.8,5,66,0,0.736,40.9,1,0
