descuento_pct,distancia_km,pedido_rentable
5.08,119.1,0
6.23,86.9,0
7.0,114.4,0
0.43,9.5,0
26.76,26.2,0
24.13,4.7,0
0.94,104.3,0
1.71,83.6,1
23.49,22.1,0
0.2,116.9,0
14.07,114.7,1
3.22,27.7,0
17.75,78.0,0
29.95,80.5,0
5.16,1.5,1
28.7,83.0,0
25.96,27.3,0
29.58,108.3,0
22.99,100.8,0
25.71,108.7,0
17.84,91.1,0
26.02,20.6,0
3.35,43.9,0
22.25,85.4,0
18.86,39.5,0
1.8,85.5,0
8.75,41.0,1
6.48,22.1,1
12.16,62.7,1
5.95,82.7,0
8.24,62.5,0
8.88,77.4,0
17.99,53.1,0
4.05,93.6,0
7.23,78.3,0
9.51,69.4,1
13.47,52.8,1
1.14,64.8,0
29.98,7.1,0
9.01,80.3,0
8.62,25.3,1
16.65,103.4,1
25.62,97.7,0
13.7,63.8,0
7.47,101.8,0
16.98,80.8,1
14.49,17.8,0
12.69,89.2,1
29.52,119.5,0
29.88,5.9,0
16.86,30.1,0
2.04,72.1,0
17.01,50.4,0
28.57,76.9,0
27.77,70.8,0
6.47,94.8,0
5.7,9.4,1
4.57,53.4,1
24.59,103.3,0
14.7,44.2,0
10.14,61.0,1
9.74,3.6,1
8.26,27.7,1
26.48,56.2,0
12.29,48.5,1
7.32,86.0,0
21.31,73.8,0
19.06,105.8,0
21.46,102.7,0
24.66,29.7,0
3.04,3.1,0
0.06,102.7,0
1.52,40.2,0
21.2,42.3,0
28.03,19.8,0
9.93,83.5,0
23.44,34.3,0
21.88,22.0,0
29.34,60.9,0
14.12,90.3,1
4.98,33.1,0
22.96,86.9,0
24.56,56.0,0
21.22,49.0,0
25.9,43.8,0
11.14,18.3,1
20.71,40.6,1
7.92,105.6,0
13.39,13.2,0
7.27,115.0,0
4.64,13.8,0
1.08,44.1,0
20.14,73.2,0
26.26,100.7,0
9.43,18.1,1
12.88,17.8,0
0.11,75.8,0
12.39,35.8,1
8.44,77.7,0
17.23,98.6,1
27.26,10.1,0
15.18,101.5,1
20.27,5.5,0
21.16,108.0,0
4.57,117.1,0
10.4,80.4,1
3.39,118.1,0
13.22,98.8,1
26.62,6.3,0
14.43,1.5,0
13.68,3.5,0
6.28,54.8,0
9.31,75.2,0
28.1,58.3,0
9.09,81.6,0
21.94,54.5,0
1.26,6.1,0
3.85,27.9,0
9.34,119.1,0
27.04,42.2,0
6.58,39.6,0
21.8,19.2,0
5.03,118.5,0
18.39,28.4,0
17.6,78.0,0
18.66,6.0,0
8.59,8.9,1
4.86,86.3,0
26.59,76.6,0
17.08,81.9,1
6.36,28.5,1
12.4,118.2,0
2.01,67.4,0
14.26,116.4,1
12.72,20.5,0
3.98,49.2,0
13.33,40.9,1
19.19,90.9,0
27.85,90.0,0
21.1,58.9,0
15.07,2.9,0
23.1,21.8,0
8.4,7.0,1
20.06,101.8,0
0.15,35.5,0
