id_entrega,canton_destino,peso_kg,volumen_m3,distancia_km,num_paradas,hora_salida,lluvia_mm,tipo_vehiculo,experiencia_conductor_meses,carga_previa_pct,incidencias_registradas,entrega_tardia
ENT-01765,Catamayo,57.2,0.405,31.4,2,8,1.2,camion liviano,,83.1,0,0
ENT-00204,Catamayo,233.9,0.894,37.4,5,8,6.2,camioneta,69.0,87.9,2,1
ENT-01357,Macara,417.1,1.654,39.9,15,9,2.5,camion liviano,21.0,61.9,1,1
ENT-01452,Macara,780.1,2.75,124.3,1,5,1.3,camioneta,54.0,83.4,3,1
ENT-01578,Macara,156.3,0.953,57.5,4,6,0.0,camion pesado,44.0,81.7,0,0
ENT-00103,Zamora,215.2,1.098,17.4,3,8,0.5,camion liviano,,91.2,1,1
ENT-02839,Zamora,861.6,5.903,38.3,6,13,0.4,camioneta,41.0,64.4,1,0
ENT-01819,Catamayo,162.5,0.73,42.7,2,12,1.7,camioneta,6.0,65.6,0,0
ENT-00486,Cariamanga,391.3,1.478,73.3,2,8,0.0,camioneta,,79.0,0,1
ENT-01437,Catamayo,346.1,1.952,56.5,9,10,0.0,camion pesado,56.0,63.9,4,1
ENT-01252,Catamayo,170.0,0.896,14.4,8,10,0.0,camion liviano,36.0,42.4,0,0
ENT-01152,Macara,345.3,1.812,29.4,11,4,0.0,camioneta,15.0,29.2,0,0
ENT-00267,LOJA,44.0,0.308,40.2,4,6,4.4,camioneta,,93.0,0,1
ENT-02155,Saraguro,449.4,2.031,13.0,2,8,0.0,camioneta,27.0,52.8,0,0
ENT-01428,Loja,164.2,0.781,27.6,5,8,4.0,camioneta,10.0,89.5,2,1
ENT-02879,Loja,493.9,3.237,93.3,3,9,,camioneta,,36.7,0,0
ENT-02355,Machala,304.3,1.289,58.0,7,7,1.0,camion liviano,,61.1,4,1
ENT-01484,Catamayo,106.6,0.756,77.1,1,9,1.8,camioneta,14.0,50.1,3,1
ENT-02467,Cariamanga,649.1,4.184,38.5,1,7,3.9,camion liviano,148.0,69.7,1,1
ENT-02568,Zamora,481.3,1.546,72.3,6,7,2.9,camion liviano,,46.9,3,1
ENT-02378,Zamora,126.3,0.504,48.2,5,6,0.0,camion liviano,74.0,63.0,2,1
ENT-02219,Zamora,585.8,2.853,15.3,11,5,0.5,camioneta,70.0,86.8,1,0
ENT-01178,Macara,392.2,2.789,26.5,6,14,2.0,camion liviano,,86.7,0,0
ENT-01610,Machala,354.7,2.43,21.5,7,14,1.5,camioneta,12.0,56.6,2,0
ENT-02127,Lója,239.8,0.881,67.2,6,7,0.0,camion liviano,42.0,77.9,0,0
ENT-01447,Saraguro,858.4,3.414,33.5,15,10,0.0,camioneta,31.0,2.2,2,1
ENT-02674,Macara,78.7,0.341,14.3,8,8,1.8,camioneta,69.0,59.5,1,1
ENT-02851,loja,234.7,1.323,62.7,8,10,1.4,camioneta,16.0,76.1,1,1
ENT-02718,Catamayo,298.8,2.024,40.6,5,7,0.6,camioneta,67.0,65.4,1,1
ENT-01090,Machala,186.0,0.77,9.7,4,11,4.6,camion liviano,,55.5,0,1
ENT-02128,Catamayo,172.2,0.726,34.8,5,11,2.3,camion liviano,29.0,21.1,0,0
ENT-02524,Zamora,275.0,1.011,27.2,5,10,1.5,camion pesado,86.0,34.4,0,0
ENT-00765,Zamora,108.1,0.612,17.0,6,8,1.9,camioneta,21.0,36.3,0,0
ENT-02420,Saraguro,410.2,2.325,53.6,4,7,0.0,camioneta,,57.9,1,0
ENT-01518,Zamora,175.9,1.084,22.0,2,9,1.9,camion pesado,34.0,73.5,0,0
ENT-02844,Machala,148.7,0.515,50.1,4,11,,camioneta,19.0,50.8,3,1
ENT-00193,Loja,63.2,0.198,87.5,4,8,,camion liviano,11.0,29.2,2,1
ENT-00355,Cariamanga,192.8,0.977,67.1,2,6,0.6,camion pesado,65.0,57.1,1,1
ENT-01033,Cariamanga,149.0,1.01,21.5,3,10,5.3,camion liviano,47.0,55.1,2,1
ENT-00145,Macara,311.6,1.468,61.8,7,11,0.0,camion liviano,37.0,70.4,0,0
ENT-01426,Loja,402.0,1.431,47.0,6,8,2.6,camion pesado,,33.9,1,1
ENT-02925,Cariamanga,173.6,0.987,98.0,7,13,1.9,camioneta,,70.9,1,1
ENT-00140,Cariamanga,646.1,2.302,13.1,11,10,1.4,camion liviano,33.0,82.7,1,1
ENT-01303,Zamora,61.2,0.382,36.3,6,4,0.1,camion liviano,,43.2,0,1
ENT-02135,Macara,342.7,2.402,13.9,5,8,0.0,camion liviano,,58.1,1,1
ENT-00747,Loja,586.9,2.853,32.0,3,8,9.2,camion liviano,53.0,92.2,1,0
ENT-02241,Saraguro,73.6,0.459,14.9,7,9,0.4,camioneta,,55.6,0,0
ENT-01810,Saraguro,120.3,0.378,19.4,2,11,0.0,camion pesado,101.0,55.1,0,0
ENT-00064,Cariamanga,120.9,0.553,34.0,3,7,0.3,camion liviano,45.0,66.3,0,0
ENT-01764,Catamayo,178.1,0.693,22.2,4,5,13.4,camion liviano,,10.2,0,0
ENT-02397,Machala,273.7,1.25,69.4,8,14,2.1,camion pesado,58.0,84.0,1,1
ENT-01489,Zamora,369.4,1.22,37.4,12,5,1.7,camioneta,63.0,54.5,0,0
ENT-02870,Machala,489.0,1.705,14.0,2,9,1.2,camioneta,3.0,69.1,4,1
ENT-00680,Loja,431.2,1.471,51.0,3,4,0.0,camion liviano,21.0,86.9,0,0
ENT-00252,Zamora,252.8,1.247,24.3,6,13,0.5,camioneta,,5.9,0,0
ENT-00766,Catamayo,171.2,1.104,11.8,11,10,5.0,camion pesado,24.0,70.8,0,1
ENT-00052,Cariamanga,155.9,0.717,16.4,1,7,11.7,camion liviano,,33.7,0,0
ENT-02424,Macara,116.6,0.593,29.4,1,11,3.3,camion pesado,,90.1,0,0
ENT-00737,Loja,860.2,4.23,15.3,3,10,0.0,camion pesado,35.0,92.0,0,0
ENT-01973,Catamayo,340.2,2.33,28.5,3,12,0.0,camion liviano,,64.1,1,0
ENT-02014,Cariamanga,546.6,1.892,29.9,2,12,0.7,camion liviano,37.0,58.9,0,0
ENT-00150,Zamora,635.9,2.031,8.0,2,11,2.0,camioneta,21.0,46.8,3,1
ENT-01603,MACARA,191.6,0.68,43.0,2,8,1.0,camioneta,118.0,36.1,0,0
ENT-00255,Catamayo,23.9,0.087,58.3,4,8,0.0,camioneta,42.0,52.4,1,1
ENT-01074,Loja,309.8,1.74,17.7,10,10,0.0,camion liviano,12.0,65.6,2,1
ENT-00045,Saraguro,895.5,2.86,10.9,1,9,,camion liviano,40.0,34.3,1,1
ENT-00757,Catamayo,190.9,0.676,12.8,5,14,,camioneta,94.0,53.9,1,1
ENT-01950,Saraguro,255.5,1.086,15.7,5,10,1.3,camioneta,12.0,82.3,2,1
