volumen_mensual,frecuencia_pedidos_mes,distancia_bodega_km,sku_distintos,morosidad_dias,canal_recomendado
602,12,4.9,80,14,vendedor_ruta
4555,8,16.9,47,2,vendedor_ruta
501,16,50.2,93,1,vendedor_ruta
2568,10,25.4,89,5,vendedor_ruta
721,13,33.8,111,13,vendedor_ruta
2898,5,41.9,92,4,distribuidor
1112,8,52.7,57,4,autoservicio
1171,10,12.3,5,2,autoservicio
3275,6,47.8,72,0,distribuidor
721,11,43.4,78,2,vendedor_ruta
1292,11,16.3,67,26,autoservicio
744,11,11.6,5,2,autoservicio
2079,8,20.3,91,2,vendedor_ruta
732,13,63.8,30,10,autoservicio
2424,8,52.1,91,6,distribuidor
4169,8,16.2,130,2,vendedor_ruta
293,15,48.8,55,10,autoservicio
1116,5,37.8,82,8,autoservicio
803,2,33.0,66,2,autoservicio
612,6,60.3,85,12,autoservicio
2381,11,29.5,69,3,autoservicio
2196,14,24.2,45,10,vendedor_ruta
4538,6,2.9,31,1,distribuidor
3051,16,41.7,125,3,vendedor_ruta
1980,9,10.8,82,26,vendedor_ruta
2309,9,9.3,97,11,distribuidor
1290,6,24.8,80,2,autoservicio
2361,17,9.1,102,2,vendedor_ruta
506,8,31.3,31,10,autoservicio
1724,4,27.4,68,5,distribuidor
2619,19,25.6,84,0,vendedor_ruta
1659,11,20.3,114,2,distribuidor
1150,12,40.7,167,2,vendedor_ruta
2042,16,31.4,80,2,vendedor_ruta
1019,11,31.0,40,18,vendedor_ruta
1588,13,11.7,20,11,vendedor_ruta
3245,9,21.8,31,1,vendedor_ruta
3379,12,11.6,36,7,vendedor_ruta
2228,9,21.5,5,17,vendedor_ruta
865,9,13.2,39,2,autoservicio
1477,9,21.1,92,7,autoservicio
2068,7,21.8,68,37,autoservicio
1107,11,21.1,55,14,vendedor_ruta
5320,11,41.4,5,1,distribuidor
1127,12,34.5,105,3,vendedor_ruta
1973,12,7.1,84,24,vendedor_ruta
399,17,19.4,65,12,vendedor_ruta
3517,13,25.6,5,1,vendedor_ruta
4793,8,12.7,46,2,distribuidor
850,11,27.5,81,8,vendedor_ruta
521,15,14.0,64,2,autoservicio
2210,5,22.9,72,17,vendedor_ruta
5719,17,10.5,91,4,vendedor_ruta
598,6,21.0,71,19,autoservicio
1518,13,35.1,90,1,vendedor_ruta
