empresa_id,region,sector,actividad_ciiu,tamano,anio_ruc,personal_ocupado,remuneraciones,produccion_total,ventas_bienes_producidos,ventas_mercaderias,ventas_servicios,materia_prima,suministros_repuestos,total_insumos,consumo_intermedio,valor_agregado,gastos_operacionales,total_gastos_operacionales,gastos_financieros,arrendamientos,depreciaciones,formacion_capital_fijo,agua_m3,factor_expansion
EMP-0001,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa B,1973,50,598676,868290,0,4656959.0,0.0,0,2698.0,2698.0,200714,667576,154402,198016,0,15420.0,13471,2195.0,480.0,1.0
EMP-0002,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1995,26,399185,828534,0,9709094.0,25637.0,0,6571.0,6571.0,187266,641268,154586,180695,0,0.0,36577,-207478.0,1036.0,1.0
EMP-0003,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1995,15,177236,523750,0,6898651.0,0.0,0,9229.0,9229.0,219886,303864,114329,210657,0,3569.0,8843,92549.0,0.0,1.0
EMP-0004,Sierra,Servicios,Actividades de alojamiento y de servicio de comidas,Grande Empresa,1994,227,1886089,8100581,0,0.0,8068440.0,4972864,168088.0,5140952.0,5746149,2354432,601994,605197,0,131580.0,38238,171250.0,0.0,1.0
EMP-0005,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1993,22,528104,1457984,0,7742149.0,0.0,0,3951.0,3951.0,149792,1308192,91841,145841,0,0.0,51703,189432.0,307.0,1.0
EMP-0006,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1991,26,257114,497602,0,6211741.0,0.0,0,37863.0,37863.0,138005,359597,71786,100142,7195,0.0,10701,15008.0,946.0,1.0
EMP-0007,Sierra,Manufactura,Industrias manufactureras,Grande Empresa,2004,1,248709,3849988,3527365,1511729.0,0.0,2749940,57941.0,2807881.0,3301810,548178,453506,493929,0,0.0,101736,0.0,2026.0,25.13636364
EMP-0008,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2005,21,205588,405735,0,10154010.0,0.0,0,6046.0,6046.0,151270,254465,144167,145224,0,0.0,12947,0.0,501.0,1.0
EMP-0009,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2017,13,73373,-82633,0,5005374.0,0.0,0,0.0,0.0,0,-82633,0,0,0,0.0,0,0.0,600.0,1.0
EMP-0010,Sierra,Servicios,"Distribución de agua; alcantarillado, gestión de desechos y actividades de saneamiento",Grande Empresa,1998,305,5986706,30489804,0,0.0,30489804.0,0,21750604.0,21750604.0,21750604,8739200,0,0,0,0.0,56548,124888.0,53729.0,1.0
EMP-0011,Sierra,Servicios,Otras actividades de servicios,Mediana Empresa A,1999,39,479113,1861262,0,0.0,1852145.0,0,1293233.0,1293233.0,1622610,238652,89885,329377,22429,0.0,0,26198.0,2113.0,5.666666667
EMP-0012,Sierra,Servicios,"Distribución de agua; alcantarillado, gestión de desechos y actividades de saneamiento",Mediana Empresa A,2010,41,682931,2822156,0,0.0,1540216.0,0,107814.0,107814.0,1746721,1075435,138511,1638907,0,0.0,95781,13188.0,0.0,2.018760196
