fecha,ipp_general,variacion_mensual_pct
2001-01-01,55.78,3.3154
2001-02-01,56.52,1.3266
2001-03-01,57.25,1.2916
2001-04-01,56.38,-1.5197
2001-05-01,56.49,0.1951
2001-06-01,57.0,0.9028
2001-07-01,56.58,-0.7368
2001-08-01,56.42,-0.2828
2001-09-01,56.82,0.709
2001-10-01,56.65,-0.2992
2001-11-01,56.48,-0.3001
2001-12-01,57.51,1.8237
2002-01-01,59.6,3.6342
2002-02-01,59.72,0.2013
2002-03-01,60.54,1.3731
2002-04-01,59.78,-1.2554
2002-05-01,59.87,0.1506
2002-06-01,59.84,-0.0501
2002-07-01,59.2,-1.0695
2002-08-01,59.22,0.0338
2002-09-01,59.7,0.8105
2002-10-01,57.02,-4.4891
2002-11-01,57.7,1.1926
2002-12-01,60.41,4.6967
2003-01-01,63.2,4.6184
2003-02-01,62.64,-0.8861
2003-03-01,62.99,0.5587
2003-04-01,62.12,-1.3812
2003-05-01,60.71,-2.2698
2003-06-01,60.29,-0.6918
2003-07-01,60.91,1.0284
2003-08-01,59.86,-1.7239
2003-09-01,60.37,0.852
2003-10-01,60.0,-0.6129
2003-11-01,59.81,-0.3167
2003-12-01,60.43,1.0366
2004-01-01,61.89,2.416
2004-02-01,63.92,3.28
2004-03-01,65.59,2.6126
2004-04-01,65.24,-0.5336
2004-05-01,64.59,-0.9963
2004-06-01,64.18,-0.6348
2004-07-01,63.43,-1.1686
2004-08-01,63.04,-0.6149
2004-09-01,64.24,1.9036
2004-10-01,63.74,-0.7783
2004-11-01,66.35,4.0948
2004-12-01,66.69,0.5124
2005-01-01,65.47,-1.8294
2005-02-01,68.92,5.2696
2005-03-01,69.18,0.3772
2005-04-01,64.85,-6.259
2005-05-01,65.55,1.0794
2005-06-01,65.35,-0.3051
2005-07-01,67.68,3.5654
2005-08-01,66.07,-2.3788
2005-09-01,67.34,1.9222
2005-10-01,68.26,1.3662
2005-11-01,67.99,-0.3955
2005-12-01,68.83,1.2355
2006-01-01,68.52,-0.4504
2006-02-01,69.66,1.6637
