fecha,codigo_ciiu,actividad,indice
2001-01-01,A011,Cultivo de plantas no perennes,44.63
2001-02-01,A011,Cultivo de plantas no perennes,48.47
2001-03-01,A011,Cultivo de plantas no perennes,50.86
2001-04-01,A011,Cultivo de plantas no perennes,42.29
2001-05-01,A011,Cultivo de plantas no perennes,39.02
2001-06-01,A011,Cultivo de plantas no perennes,40.01
2001-07-01,A011,Cultivo de plantas no perennes,36.36
2001-08-01,A011,Cultivo de plantas no perennes,36.69
2001-09-01,A011,Cultivo de plantas no perennes,37.06
2001-10-01,A011,Cultivo de plantas no perennes,40.34
2001-11-01,A011,Cultivo de plantas no perennes,41.27
2001-12-01,A011,Cultivo de plantas no perennes,44.84
2002-01-01,A011,Cultivo de plantas no perennes,44.75
2002-02-01,A011,Cultivo de plantas no perennes,45.46
2002-03-01,A011,Cultivo de plantas no perennes,52.05
2002-04-01,A011,Cultivo de plantas no perennes,41.05
2002-05-01,A011,Cultivo de plantas no perennes,38.66
2002-06-01,A011,Cultivo de plantas no perennes,39.23
2002-07-01,A011,Cultivo de plantas no perennes,41.2
2002-08-01,A011,Cultivo de plantas no perennes,41.46
2002-09-01,A011,Cultivo de plantas no perennes,43.12
2002-10-01,A011,Cultivo de plantas no perennes,46.36
2002-11-01,A011,Cultivo de plantas no perennes,46.63
2002-12-01,A011,Cultivo de plantas no perennes,48.77
2003-01-01,A011,Cultivo de plantas no perennes,50.08
2003-02-01,A011,Cultivo de plantas no perennes,47.37
2003-03-01,A011,Cultivo de plantas no perennes,48.69
2003-04-01,A011,Cultivo de plantas no perennes,43.91
2003-05-01,A011,Cultivo de plantas no perennes,45.37
2003-06-01,A011,Cultivo de plantas no perennes,40.65
2003-07-01,A011,Cultivo de plantas no perennes,41.96
2003-08-01,A011,Cultivo de plantas no perennes,42.55
2003-09-01,A011,Cultivo de plantas no perennes,43.78
2003-10-01,A011,Cultivo de plantas no perennes,44.59
2003-11-01,A011,Cultivo de plantas no perennes,45.17
2003-12-01,A011,Cultivo de plantas no perennes,44.97
2004-01-01,A011,Cultivo de plantas no perennes,46.49
2004-02-01,A011,Cultivo de plantas no perennes,53.1
2004-03-01,A011,Cultivo de plantas no perennes,53.63
2004-04-01,A011,Cultivo de plantas no perennes,49.99
2004-05-01,A011,Cultivo de plantas no perennes,47.51
2004-06-01,A011,Cultivo de plantas no perennes,50.26
2004-07-01,A011,Cultivo de plantas no perennes,47.46
2004-08-01,A011,Cultivo de plantas no perennes,46.19
2004-09-01,A011,Cultivo de plantas no perennes,45.87
2004-10-01,A011,Cultivo de plantas no perennes,48.22
